meta_id,term_id,meta_key,meta_value
1,17,order,0
2,17,display_type,""
3,17,thumbnail_id,14
4,18,order,0
5,18,display_type,""
6,18,thumbnail_id,15
7,19,order,0
8,19,display_type,""
9,19,thumbnail_id,16
10,20,order,0
11,20,display_type,""
12,20,thumbnail_id,17
13,21,order,0
14,21,display_type,""
15,21,thumbnail_id,18
16,22,order,0
17,22,display_type,""
18,22,thumbnail_id,19
19,23,order,0
20,23,display_type,""
21,23,thumbnail_id,20
22,24,order,0
23,24,display_type,""
24,24,thumbnail_id,21
25,25,order,0
26,25,display_type,""
27,25,thumbnail_id,22
