term_id,name,slug,term_group
1,Uncategorized,uncategorized,0
2,simple,simple,0
3,grouped,grouped,0
4,variable,variable,0
5,external,external,0
6,exclude-from-search,exclude-from-search,0
7,exclude-from-catalog,exclude-from-catalog,0
8,featured,featured,0
9,outofstock,outofstock,0
10,rated-1,rated-1,0
11,rated-2,rated-2,0
12,rated-3,rated-3,0
13,rated-4,rated-4,0
14,rated-5,rated-5,0
15,Uncategorized,uncategorized,0
16,twentytwenty,twentytwenty,0
17,Kayaks,kayaks,0
18,Marine,marine,0
19,Jetsurf,jetsurf,0
20,Racks,racks,0
21,Sea Kayaks,sea-kayaks,0
22,Inflatable Kayaks,inflatable-kayaks,0
23,Fishing,fishing,0
24,Sit on Top,sit-on-top,0
25,Kids,kids,0
26,New,new,0
27,Ritz,ritz,0
28,Kayaks,kayaks,0
29,Marines,marines,0
30,twentytwentytwo,twentytwentytwo,0
